community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
6.6,Okay,"The classic arcade hit CENTIPEDE comes to Game Boy Color in this slightly enhanced version of the old favorite. This one- or two-player game has you firing pesticide at an oncoming centipede that is threatening the garden. As the pest weaves its way through the mushrooms dispersed throughout the screen, you'll have to use strategy as well as quickness to fight it off. The classic gameplay is replicated perfectly in this arcade port.  You can play two players competitively by alternating on a single Game Boy, or grab two copies of the game and a Game Boy Link Cable to cooperate against the buggy bad guys. CENTIPEDE is enhanced for Game Boy Color, with all new brightly colored graphics that will take you back to the arcades of the '80s. Centipede is compatible with all Game Boy systems.",Accolade,Shooter,4.0,Bad,GBC TI-99 Intv Cell 2600 G.com Arcade WinPhone Coleco 7800 iPhone 400/800 5200 GB,19.99 USD,Majesco,E for Everyone,No Descriptors,"http://www.ign.com/games/1942/gbc-12195,http://www.ign.com/games/iridion/gbc-12015,http://www.ign.com/games/galaxian/gbc-14134,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402",November 1998,http://gameboy.ign.com/articles/161/161592p1.html,Centipede,http://www.ign.com/games/centipede/gbc-11592
5.3,Mediocre,Braveheart is an ambitious undertaking for Red Lemon Studios. The game attempts to combine large-scale military strategy in a detailed 2D world with the excitement of 3D tactical battles. Your goal is to unite the warring Scottish clans through either diplomacy or battle before the English secure complete domination. It is a vast and open-ended game that could be endless fun if only the gameplay were not so tedious.,Red Lemon,Strategy,4.2,Bad,PC,19.99 USD,Eidos Interactive,M for Mature,"Animated Blood, Animated Violence","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Summer 1999,http://pc.ign.com/articles/161/161657p1.html,Braveheart,http://www.ign.com/games/braveheart-805871/pc-11657
4.9,Bad,"King Arthur has lost his legendary sword, Excalibur. Now the evil Sir Ruber is out to claim Camelot. Since the King is unable to fight, he trusts a young girl named Kayley to fight for him and save his Kingdom. You take the role of Kayley as you explore nine worlds and a total of 60 areas in search of Excalibur. Along the way, you will have to learn how to use several devices including a slingshot, snorkel, and grappling hook to perform tasks and solve puzzles. Naturally, Sir Ruber has henchmen out to stop you, but use your sword to dispatch them. As the game progresses, you will learn a powerful spin-attack as well as dart- and lunge-attacks. Will Kayley be able to save Camelot? Will finding Excalibur be enough to help King Arthur? Find the answers to these questions by playing QUEST FOR CAMELOT.",Titus,RPG,4.0,Bad,GBC,19.99 USD,Nintendo,E for Everyone,,"http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402",December 1998,http://gameboy.ign.com/articles/160/160783p1.html,Quest for Camelot,http://www.ign.com/games/quest-for-camelot-167811/gbc-10783
6.4,Okay,"Grab your radio controller (or in this case, your controller) and get ready for RC action. You have more than 28 different cars to choose from (each rated differently for speed, acceleration, and weight), though most of these are locked at the beginning of the game. As you progress through the game's four championship circuits, you'll gain access to more cars.",Probe,Racing,6.1,Okay,PS N64 Xbox PC DC,27.99 USD,Acclaim Entertainment,E for Everyone,Mild Animated Violence,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673",August 1999,http://psx.ign.com/articles/160/160894p1.html,Re-Volt,http://www.ign.com/games/re-volt/ps-10894
8.4,Great,"Explore the world of voodoo with Shadow Man. You play the role of Mike LeRoi, an ordinary man with one unique trait: the ability to traverse between the worlds of the living and the dead. Armageddon is fast approaching, and you're the only person who can stop it. Under the guidance of voodoo priestess, Mama Nettie, your mission is to absorb the blackest souls on the Deadside before an evil entity known as Legion does. As the Shadow Man, you have different abilities while on the Liveside, including the ability to use weapons, like a shotgun and machine gun. While on the Deadside, you have the Shadow Gun at your disposal, which is only effective against those in the afterworld. Your quest will take you to both realms as you fight to keep Legion from unleashing demons and evil spirits on the Liveside. The future of the world as we know it is in your hands  and you are the only one who can defeat Legion.",Acclaim Studios Teeside,Action,9.1,Amazing,N64 PS PC DC,31.99 USD,Acclaim Entertainment,M for Mature,"Animated Blood and Gore, Animated Violence","http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","August 24, 1999",http://ign64.ign.com/articles/151/151945p1.html,Shadow Man,http://www.ign.com/games/shadow-man/n64-1945
5.0,Mediocre,"Gulf War Operation Desert Hammer is a classic arcade-action shooter; a patriotic game of 3D tank combat set in the present day (2001) Persian Gulf. As commander of a prototype M12 tank, nicknamed ""The Hammer,"" players use an array of weapons and the aid of additional military units to 'go back and finish what we started with Desert Storm.' Gulf War Operation Desert Hammer offers real-world locations and missions with ease-of-use, arcade-style, single and multi-player gameplay.",3DO,Action,3.3,Awful,PC,9.99 USD,3DO,T for Teen,Animated Violence,"http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/metal-gear-solid-5/pc-20023125,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Aug 17, 1999",http://pc.ign.com/articles/162/162819p1.html,Gulf War: Operation Desert Hammer,http://www.ign.com/games/gulf-war-operation-desert-hammer/pc-12819
2.5,Painful,"Forget jet engines and afterburners!!! Return to a time when humans first took to the sky for face-to-face battle. Sit in the cockpit of the world's first combat aircraft, where your skill, tactics, and bravery will determine whether you stay up or go down.",Dynamix,Simulation,4.1,Bad,PC,19.99 USD,Dynamix,E for Everyone,Animated Violence,"http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Jul 6, 1999",http://pc.ign.com/articles/162/162497p1.html,Curse You! Red Baron,http://www.ign.com/games/curse-you-red-baron/pc-12497
7.8,Good,Where can you ride a kangaroo or a rhino to victory? In Bomberman Fantasy Race choose a rider and an animal and then hit one of the seven courses.,Hudson Soft,Racing,6.8,Okay,PS PS3 PSP,41.99 USD,Atlus,E for Everyone,Mild Animated Violence,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","July 27, 1999",http://psx.ign.com/articles/154/154035p1.html,Bomberman Fantasy Race,http://www.ign.com/games/bomberman-fantasy-race/ps-4035
7.0,Good,,Milestone,Racing,8.3,Great,PC,,Electronic Arts,E for Everyone,No Descriptors,"http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Apr 10, 1999",http://pc.ign.com/articles/160/160203p1.html,Superbike World Championship,http://www.ign.com/games/superbike-world-championship/pc-10203
1.0,Unbearable,,Gonzo Games,Sports,2.2,Painful,PC,,Electronic Arts,,,"http://www.ign.com/games/nba-2k17/pc-20052300,http://www.ign.com/games/pro-evolution-soccer-2017/pc-20054110,http://www.ign.com/games/wwe-2k17/pc-20063609,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Jul 28, 1999",http://pc.ign.com/articles/162/162049p1.html,Skydive!,http://www.ign.com/games/skydive/pc-12049
8.8,Great,"Think you've seen everything that TETRIS has to offer? Go beyond all preconceived notions of the mind-boggling puzzle classic, as you take on fresh challenges in all-new environments. The aim is the same: place the falling shapes into lines, leaving as few gaps as possible. Once you complete a line, it disappears, giving you more space in which to operate. Whether you're a seasoned veteran or a newcomer to the fabled TETRIS series, you'll appreciate the improved modes of play. One welcome addition to this installment is the TNT feature, which allows you to see the next three pieces before they are released to you. You can even earn additional points by building gold and obsidian squares on the playing field. As if that weren't enough, you can actually build the Seven Wonders of the Ancient World with up to four players in collaboration! The seven different play environments Japan, Africa, and Celtic Great Britain to name a few each feature its own unique animation and music, and you can even play classic TETRIS if that all gets to be too much.",H2O Entertainment,Puzzle,8.8,Great,N64,39.99 USD,Nintendo,E for Everyone,,"http://www.ign.com/games/pokemon-puzzle-challenge/n64-14801,http://www.ign.com/games/bust-a-move-2-arcade-edition/n64-3606,http://www.ign.com/games/sanrio-time-net-world/n64-10104,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","August 2, 1999",http://ign64.ign.com/articles/160/160072p1.html,The New Tetris,http://www.ign.com/games/the-new-tetris/n64-10072
8.0,Great,"NCAA FOOTBALL 2000 has all the gameplay options you expect from a college football sim: Exhibition, Tournament, Great Games, Season, Practice, and Dynasty. You also get 114 division I-A and 26 new division I-AA teams, meaning you're likely to find your favorite squad on the roster. If you're feeling creative, you can also take advantage of the game's Create-A-Player and Create-A-Play features, as well as the new Create-A-School feature. This new mode lets you create a school, and then take its team through multiple seasons in Dynasty mode. You can also scout players and get them interested in playing football for your school by sending different members of the coaching staff to their hometowns. If you're looking for a college football game that has it all, NCAA FOOTBALL 2000 might just be what you need.",EA Tiburon,Sports,8.2,Great,PS,50.99 USD,Electronic Arts,E for Everyone,No Descriptors,"http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673",Fall 1999,http://psx.ign.com/articles/161/161604p1.html,NCAA Football 2000,http://www.ign.com/games/ncaa-football-2000/ps-11604
8.6,Great,"Jagged Alliance 2 is a RPG/Strategy hybrid where you lead an army of up to eighteen, quirky mercenaries on the island state of Arulco, which is ruled by the evil, despotic Queen Deirdranna. Through a campaign of terror, her army maintains control and exerts her will. Seeking to regain his throne, the rightful ruler hires you for $35,000 to assemble a rebel force to overthrow the queen. After recruiting a group of mercenaries and equipping them, you are wisked to the island to begin the resistance. As you capture mines, airports and cities, you must train local militias to defend your assets. As your army gains strength, you will see if you have the skills, organization and men to liberate Arulco.",Sirtech Canada,Strategy,8.5,Great,PC,64.99 USD,TalonSoft,M for Mature,"Animated Violence, Mature Sexual Themes, Strong Language","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Jul 23, 1999",http://pc.ign.com/articles/153/153557p1.html,Jagged Alliance 2,http://www.ign.com/games/jagged-alliance-2/pc-3557
6.1,Okay,"Combining the accessible turn-based style of Panzer General II with the gorgeous and horrifying imagery of the battletorn WarHammer 40K universe, Rites of War brings you a strategic challenge that will blow your mind. 40K figures fully animate as they move, attack, and die. Ambient map animations bring the battlefield to life.",DreamForge Entertainment,Strategy,6.1,Okay,PC,,Mindscape,,,"http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",July 1999,http://pc.ign.com/articles/161/161669p1.html,"Warhammer 40,000: Rites of War",http://www.ign.com/games/warhammer-40k-rites-of-war/pc-11669
6.3,Okay,"Take a trip to the mystical land of the Iced Planet and get to know the PenPen. The PenPen resemble animals you might see on Earth: the PenPen, PenOctopus, PenDog, PenHippo, PenShark, and PenSeal. Bored with life on a frozen planet, the PenPen decided create their own version of the humans' triathlon, known as the Tri-Icelon. Consisting of ice walking, belly surfing, and swimming, the Tri-Icelon is the ultimate athletic competition on the Iced Planet. Take control of your own PenPen and enter him (or her) in the events on four distinct courses: Sweets, a course made up of cookies and candy; Toys, which is constructed from building blocks and other toys; Horrors, which features a graveyard and a haunted house; and Jungle, which is full of wild animals and residential huts. Will your PenPen win the title of World's Greatest PenPen? It's up to you to find out in PENPEN TRI-ICELON.",General Entertainment,Racing,6.6,Okay,DC,9.99 USD,Infogrames,E for Everyone,No Descriptors,"http://www.ign.com/games/crazy-taxi/dc-12006,http://www.ign.com/games/san-francisco-rush-2049/dc-13634,http://www.ign.com/games/yume-uma-ken-99-internet-142167/dc-13795,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967","September 9, 1999",http://dreamcast.ign.com/articles/160/160371p1.html,PenPen TriIcelon,http://www.ign.com/games/penpen-triicelon-168274/dc-10371
7.0,Good,"A 3D action game with some light adventure elements. Play as one of two characters whose stories intertwine as they fight to stop an evil warlord scheming to overthrow the shogunate. One relies on her speed and her ninja tricks, while the other uses his sheer strength and the greater reach of his samurai swords. Battle enemies in fast, brutal combat, and search the prerendered environments for items.",Konami,Action,7.9,Good,PS,39.99 USD,Konami,M for Mature,"Blood, Animated Violence","http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673",August 1999,http://psx.ign.com/articles/160/160391p1.html,Soul of the Samurai,http://www.ign.com/games/soul-of-the-samurai/ps-10391
8.6,Great,"The hedgehog with an attitude makes his triumphant return to the world of videogames in Sonic Adventure. Using the power of the Dreamcast, Sonic has been catapulted into the third dimension with style. Racing at supersonic speeds through nearly 50 gorgeous, fully 3D levels, Sonic will have to adapt to the new challenges and dangers invented by the evil Dr. Robotnik. Sonic knows when he's outmatched, though, so he's recruited five friends including Amy Rose, Tails, and Knuckles to help him put a stop to Robotnik's evil scheme. Each playable character features different abilities, playing through levels differently and seeing the story evolve from their own perspectives. Players can even collect tiny creatures called Chao, save them to a VMU, and raise them on the go   then bring them back into the game world for competition! Your favorite blue hedgehog enters the next generation of games with style in Sonic Adventure.",Sonic Team,Platformer,8.6,Great,DC Xbox 360 PS3 PC DC GCN,23.99 USD,SEGA,E for Everyone,Mild Animated Violence,"http://www.ign.com/games/rayman-2-revolution/dc-12005,http://www.ign.com/games/sonic-adventure-2/dc-14855,http://www.ign.com/games/donald-duck-goin-quackers/dc-15760,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967","September 9, 1999",http://dreamcast.ign.com/articles/160/160140p1.html,Sonic Adventure,http://www.ign.com/games/sonic-adventure/dc-10140
7.4,Good,"Experience the nose-to-tail battle that is CART racing. This high-speed, action-packed racing game will pump your pulse into overdrive with its 3D realism and challenging courses. Sega's first-ever CART simulation brings the world's fastest closed-circuit auto racing to Sega Dreamcast. Fully licensed by CART and designed with the help of CART's champion Team Rahal, Sega has created the most accurate and realistic racing game yet for console gaming. Hold on tight as you race through 19 real-life tracks and confront a variety of weather and road conditions. Details such as debris hitting your windshield will make you forget about that static chair you're sitting in. So step on the gas and don't stop till you screech across the finish line.",ZOOM Inc.,Racing,8.2,Great,DC,35.99 USD,SEGA,E for Everyone,,"http://www.ign.com/games/crazy-taxi/dc-12006,http://www.ign.com/games/san-francisco-rush-2049/dc-13634,http://www.ign.com/games/yume-uma-ken-99-internet-142167/dc-13795,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967","September 9, 1999",http://dreamcast.ign.com/articles/160/160958p1.html,Flag to Flag,http://www.ign.com/games/flag-to-flag-1999/dc-10958
7.9,Good,"You're cruising along a freeway in Tokyo when you see someone challenging you out of the corner of your eye. You flash your headlights, take on the dare, and you're off speeding down the highway in TOKYO XTREME RACER. Compete one-on-one in a series of sprints, which take place on two different Japanese highways. Your goal is simple: lead your opponent for a longer period of time than he is able to lead you.  Each driver has a meter that begins to count down when they are trailing. The farther the winning car is ahead, the faster the trailing car's meter runs down; the first meter to run out loses. Customize your car's stats and improve its performance if you're not winning like you think you should be. Beware of hitting dividers and walls, as they will drag your vehicle down costing you valuable speed. Earn money when you beat opponents and use it to upgrade your car, so you'll be ready to take on faster members of Tokyo's toughest racing gangs in TOKYO XTREME RACER.",Genki,Racing,8.8,Great,DC,28.99 USD,Crave Entertainment,E for Everyone,,"http://www.ign.com/games/crazy-taxi/dc-12006,http://www.ign.com/games/san-francisco-rush-2049/dc-13634,http://www.ign.com/games/yume-uma-ken-99-internet-142167/dc-13795,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967","September 9, 1999",http://dreamcast.ign.com/articles/161/161901p1.html,Tokyo Xtreme Racer,http://www.ign.com/games/tokyo-xtreme-racer/dc-11901
7.7,Good,"Do you remember playing with Hot Wheels, driving them along imaginary tracks and jumps, and making the cars do all sorts of acrobatic maneuvers? That same fun and excitement has been put on the PlayStation with HOT WHEELS TURBO RACING. Choose from a roster of 40 different Hot Wheels cars; some are really good at stunts while others are just plain fast. All of the 12 tracks are filled with twists, turns, corkscrews, loops, and jumps. The most important aspect is the jumps; once in the air, the player can have the car pull off helicopter spins, barrel rolls, and flips. Concentrate on tricks with the Air Time Challenge, where the most spectacular stunt wins. HOT WHEELS TURBO RACING recreates the youthful joy of driving at breakneck speeds on the living room floor.",Stormfront Studios,Action,6.8,Okay,PS N64,28.99 USD,Electronic Arts,E for Everyone,Mild Animated Violence,"http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","September 3, 1999",http://psx.ign.com/articles/161/161638p1.html,Hot Wheels: Turbo Racing,http://www.ign.com/games/hot-wheels-turbo-racing/ps-11638
7.9,Good,"Richard Osmond returned home to discover that his father had disappeared. Trying to find some clues as to his father's whereabouts, Richard stumbles across an old key that unlocks the grandfather clock. Opening the clock reveals a secret passage and large red book that explains the Rockwell dynasty. It appears that the Rockwells and 45 other guests disappeared one year earlier on the luxury boat Orpheus. The Rockwells' disappearance is related to a murderer who is possessed by an evil red knife the very same psychopath that Richard's father was trying to capture. Travel through time, help the elder Osmond capture the murderer, release the souls of those murdered by the evil knife, and discover the link between the Rockwells and the murderer. Use a point-and-click interface to explore the environs, talk to characters, and pick up items. Will Richard be able to save all of the souls and find his father? Echo Night contains the answers to these questions and many more.",FromSoftware,Adventure,8.0,Great,PS PS3 Vita PSP,42.99 USD,Agetec,T for Teen,"Animated Blood, Mild Language","http://www.ign.com/games/silent-hill/ps-3982,http://www.ign.com/games/dino-crisis/ps-11235,http://www.ign.com/games/oddworld-abes-oddysee/ps-2094,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","August 30, 1999",http://psx.ign.com/articles/161/161507p1.html,Echo Night,http://www.ign.com/games/echo-night/ps-11507
8.0,Great,"Midway has brought the arcade action of HYDRO THUNDER into your living room and onto the Dreamcast. Select from 13 boats, ranging from 16-cylinder gas-guzzlers to futuristic prototypes. Each boat handles differently, so you'll have to learn on the fly as you hit jumps at 130 mph. Be sure to keep your eyes peeled, because you just might find a shortcut or two if you're lucky. There are also 13 unique courses to race on: Lost Island, Thunder Park, Arctic Circle, Greek Isles, Lake Powell, The Far East, Venice Canals, Ship Graveyard, New York Disaster, Nile Adventure, Hydro Speedway, Catacomb, and Castle Von Dandy. Nothing is free in this world though, as you'll have to be competitive to unlock all the tracks. Take on the computer-controlled boats or challenge a friend with awesome split-screen action. With amazing graphics and true-to-life physics, HYDRO THUNDER puts you right in the middle of the action. Just remember to take your Dramamine.",Midway  Games,Racing,8.7,Great,DC N64 PC PS Arcade PS2,27.99 USD,Midway  Games,E for Everyone,Mild Animated Violence,"http://www.ign.com/games/crazy-taxi/dc-12006,http://www.ign.com/games/san-francisco-rush-2049/dc-13634,http://www.ign.com/games/yume-uma-ken-99-internet-142167/dc-13795,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967","September 7, 1999",http://dreamcast.ign.com/articles/160/160949p1.html,Hydro Thunder,http://www.ign.com/games/hydro-rush/dc-10949
8.2,Great,"If you're looking for some over-the-top boxing action, then get your hands on READY 2 RUMBLE BOXING for the Dreamcast. Featuring world-famous ring announcer Michael Buffer who bellows the familiar, ""Let's get ready to rummmble!"" at the outset of every match you're in for some fast-paced, in-your-face action with READY 2 RUMBLE BOXING. Step into the ring with one of 16 boxers, including Afro Thunder, Boris Knokimov, Salua Tua, Rocket Samchay, Tank Thrasher, Kemo Claw, ""Big"" Willie Johnson, Butcher Brown, Angel Rivera, Faz Motar, Lulu Valentine, Jimmy Blood, and several hidden characters who can be unlocked through gameplay. Each fighter has his or her own personality and boxing style to master, meaning you'll be spending some quality time with this game. Train your fighter in preparation for a title match, or just play in arcade mode and lay the smack down.",Midway  Games,Sports,9.1,Amazing,DC N64 PS GBC,27.99 USD,Midway  Games,T for Teen,Animated Violence,"http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/tony-hawks-pro-skater-2/dc-14676,http://www.ign.com/games/world-series-baseball-2k1/dc-13023,http://www.ign.com/games/power-stone/dc-10637,http://www.ign.com/games/crazy-taxi/dc-12006,http://www.ign.com/games/beats-of-rage/dc-680439,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967","September 9, 1999",http://dreamcast.ign.com/articles/161/161165p1.html,Ready 2 Rumble Boxing,http://www.ign.com/games/ready-2-rumble-boxing/dc-11165
8.1,Great,"Jump into the driver's seat of a snowmobile and race over hill and dale in SLEDSTORM. There are more than six drivers you can choose from, each with a unique sled that is rated in top speed, acceleration, handling, stability, and tricks. After choosing the appropriate alter ego, use the Practice mode to get a feel for the machine and to learn the bumps and twists of a track. When you are ready for competition, try the Championship mode. In the Open Mountain Championship, the only goal is to get from point A to point B as quickly as possible. If you're feeling bold, try the Super SnoCross, which calls for you to navigate a course filled with jumps where you score points by performing tricks. When your friends come over, you can get them into the game with a multi-tap. See how much air you can get in SLEDSTORM.",EA Canada,Racing,8.0,Great,PS,28.99 USD,Electronic Arts,E for Everyone,Animated Violence,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","August 20, 1999",http://psx.ign.com/articles/161/161637p1.html,Sled Storm,http://www.ign.com/games/ea-racing-pack-collectors-edition/ps-11637
7.9,Good,"The world champion Denver Broncos approach the line-of-scrimmage, the quarterback takes the snap, he feigns left then delivers the delay hand-off to Terrell Davis, who skirts right, turns on the speed hitting the hole between the offensive tackle and the center and explodes into mid-field for a 23 yard gain. Well in this scenario, the quarterback is not the retired John Elway, but his replacement Bubby Brister, and the game is not a live broadcast but another go at 989 Studio's NFL GameDay 2000. The 2000 edition features more balanced plays, better CPU AI (including a pre-snap AI scheme), and more than 200 new motion captured animations.",989 Studios,Sports,8.3,Great,PS,24.99 USD,"Sony Computer Entertainment, 989 Studios",E for Everyone,No Descriptors,"http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Jul 30, 1999",http://psx.ign.com/articles/162/162798p1.html,NFL GameDay 2000,http://www.ign.com/games/nfl-gameday-2000/ps-12798
7.1,Good,"Loaded with a huge number of gameplay modes and extras, GAMEBREAKER 2000 is the ultimate college football simulation. In terms of gameplay you have Scrimmage, Fantasy League, Tournament Season, Bowl Season, and the new Career Mode. In Career Mode, you can take on the role of either the head coach or the offensive or defensive coordinators for any of the Division I-A teams. You start at a small school, but as you accumulate victories you can earn promotions into the bigger and more lucrative programs, where you can ultimately make a run for the National Championship. You can choose from 114 NCAA Division I-A teams, as well as 50 classic teams from the past. The game features a TV-style presentation, with Keith Jackson handling the play-by-play. You also get a Play Editor, where you can customize and create your own plays, and you can also draft players into NFL GAMEDAY 2000.",Red Zone Interactive,Sports,8.0,Great,PS,24.99 USD,"989 Sports, Sony Computer Entertainment",E for Everyone,No Descriptors,"http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","August 15, 1999",http://psx.ign.com/articles/162/162806p1.html,NCAA GameBreaker 2000,http://www.ign.com/games/ncaa-gamebreaker-2000/ps-12806
